Date,Close
2024-01-02,12.46
2024-01-03,12.41
2024-01-04,12.38
2024-01-05,12.59
2024-01-08,12.55
2024-01-09,12.1
2024-01-10,12.2
2024-01-11,12.12
2024-01-12,12.05
2024-01-15,12.08
2024-01-16,12.15
2024-01-17,12.5
2024-01-18,12.7
2024-01-19,12.73
2024-01-22,12.51
2024-01-23,12.21
2024-01-24,12.28
2024-01-25,12.67
2024-01-26,12.68
2024-01-29,12.65
2024-01-30,12.81
2024-01-31,12.37
2024-02-01,12.28
2024-02-02,12.43
2024-02-05,12.69
2024-02-06,12.62
2024-02-07,12.73
2024-02-08,12.8
2024-02-09,13.03
2024-02-12,12.7
2024-02-13,12.87
2024-02-14,12.42
2024-02-15,11.63
2024-02-16,11.45
2024-02-19,11.18
2024-02-20,11.44
2024-02-21,11.64
2024-02-22,11.27
2024-02-23,11.52
2024-02-26,11.22
2024-02-27,11.19
2024-02-28,11.1
2024-02-29,11.13
2024-03-01,11.38
2024-03-04,11.57
2024-03-05,11.67
2024-03-06,11.86
2024-03-07,12.0
2024-03-08,11.81
2024-03-11,11.59
2024-03-12,11.45
2024-03-13,11.6
2024-03-14,11.52
2024-03-15,12.22
2024-03-18,11.97
2024-03-19,11.64
2024-03-20,11.87
2024-03-21,12.3
2024-03-22,12.45
2024-03-25,12.7
2024-03-26,13.13
2024-03-27,13.1
2024-03-28,12.67
2024-03-29,12.51
2024-04-01,12.8
2024-04-02,12.37
2024-04-03,12.38
2024-04-04,12.46
2024-04-05,12.37
2024-04-08,12.59
2024-04-09,12.76
2024-04-10,13.46
2024-04-11,13.65
2024-04-12,13.47
2024-04-15,13.3
2024-04-16,13.05
2024-04-17,13.34
2024-04-18,13.17
2024-04-19,13.15
2024-04-22,13.37
2024-04-23,13.15
2024-04-24,13.06
2024-04-25,12.51
2024-04-26,12.19
2024-04-29,12.02
2024-04-30,12.14
